epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5474.62,0.76169,1.47991,0.47587,0.96296,0.96693,0.91775,0.97338,0.81133,0.94853,0.89926,0.93644,0.67948,0.67777,1.51979,0.42038,0.9269,0.0068716,0.0068716,0.0068716
81,5542.64,0.75379,1.46639,0.47199,0.95621,0.96109,0.93184,0.97247,0.81241,0.94013,0.9052,0.93238,0.68574,0.67393,1.50367,0.41804,0.9314,0.006832,0.006832,0.006832
82,5610.3,0.75208,1.46825,0.46765,0.95739,0.95887,0.93219,0.97173,0.81587,0.93191,0.91012,0.92922,0.67304,0.6689,1.55468,0.4144,0.93065,0.0067924,0.0067924,0.0067924
83,5678.01,0.75063,1.45574,0.47516,0.95762,0.95352,0.92665,0.97338,0.81362,0.93311,0.90739,0.9384,0.68164,0.67385,1.52439,0.41185,0.92218,0.0067528,0.0067528,0.0067528
84,5746.64,0.75586,1.45903,0.47348,0.96173,0.95614,0.92933,0.97332,0.81434,0.93747,0.91138,0.94366,0.68091,0.68168,1.5367,0.41411,0.93409,0.0067132,0.0067132,0.0067132
85,5814.98,0.75378,1.48029,0.47654,0.96109,0.97103,0.91752,0.97558,0.81281,0.95304,0.90189,0.94465,0.67957,0.67759,1.52039,0.41241,0.9331,0.0066736,0.0066736,0.0066736
86,5883.06,0.75604,1.45686,0.478,0.9606,0.9636,0.92473,0.97302,0.81924,0.94559,0.90745,0.94319,0.68485,0.66978,1.50301,0.40636,0.93015,0.006634,0.006634,0.006634
87,5952.19,0.74458,1.45669,0.46936,0.95783,0.96377,0.9173,0.97274,0.81831,0.94734,0.89917,0.93899,0.68312,0.6755,1.54412,0.40289,0.92987,0.0065944,0.0065944,0.0065944
88,6020.38,0.74616,1.44178,0.46691,0.95739,0.96987,0.91313,0.97347,0.81741,0.95524,0.89632,0.94575,0.68801,0.67253,1.49733,0.41208,0.92617,0.0065548,0.0065548,0.0065548
89,6089.36,0.74699,1.45237,0.46439,0.95642,0.96122,0.92726,0.97458,0.81655,0.9436,0.91018,0.94396,0.69084,0.67529,1.50604,0.40136,0.92759,0.0065152,0.0065152,0.0065152
